Retail ID,Retail Bldg Name,Retail Bldg Address,POSTAL,X-COORDINATES,Y-COORDINATES
1,The Flow @ East Coast,66 East Coast Road 428778,428778,35889.7519,31877.0889
2,City Gate,371 Beach Road 199597,199597,31220.9191,31632.5112
3,Woods Square,00 Woodlands Square 739999,739999,,
4,Hexacube,160 Changi Road 419728,419728,35692.9502,33222.1921
5,Sim Lim Square,1 Rochor Canal Road 188504,188504,30194.6659,31707.1881
6,Centrium Square (Former...,320 Serangoon Road 218108,218108,30429.2771,32565.0041
7,Lucky Plaza,304 Orchard Road 238863,238863,28077.6865,31858.1991
8,The Promenade @ Pelikat,189 Jalan Pelikat 537646,537646,,
9,King Albert Park (KAP),9 King Albert Park 598332,598332,21977.2488,35454.0977
10,The MidTown,1189 Upper Serangoon Road 534785,534785,34877.8381,39194.6139
11,M2 Macpherson Mall,401 Macpherson Road 368125,368125,33155.7321,34882.881
12,Kensington Square,2 Jalan Lokam 537846,537846,33495.2547,36416.1137
13,Centropod,80 Changi Road 419715,419715,35479.4183,33179.1719
14,NEWest,1 West Coast Drive 128020,128020,19556.7007,33187.9313
15,Spazio @ Kovan,767 Upper Serangoon Road 534635,534635,33009.2385,37421.2899
16,Far East Plaza,14 Scotts Road 228213,228213,28038.5459,32174.222
17,Orchard Plaza,150 Orchard Road 238841,238841,28871.5825,31511.94
18,Alexandra Central,321 Alexandra Road singapore 159971,159971,24876.5798,29988.2104
19,Peninsula Plaza,111 North Bridge Road 179098,179098,29945.9048,30523.4453
20,Trio,11 Sam Leong Road 207903,207903,30630.4077,32375.0662
21,Millage,55 Changi Road 419709,419709,35308.5731,33243.523
22,Bukit Timah Shopping Centre,170 Upper Bukit Timah Road 588179,588179,21604.8355,36163.1793
23,The Adelphi,1 Coleman Street 179803,179803,29987.9521,30398.6047
24,Orchard Towers,400 Orchard Road 238875,238875,27532.2641,32146.5743
25,People'S Park Complex,1 Park Road 059108,059108,29031.2548,29617.9408
26,The Citron,1 marne road 208380,208380,30659.9896,32763.6549
27,Junction Nine,00 Yishun Avenue 9 760000,760000,,
28,Royal Square at Novena,264 Thomson Road 307643,307643,,
29,Golden Mile Tower,6001 Beach Road 199589,199589,31450.4577,31595.3347
30,Soho Life,216 Joo Chiat Road 427483,427483,35471.2816,32691.0125
31,One Dusun Residences,1 Jalan Dusun 329363,329363,29152.4788,34354.6111
32,Icon @ Changi,228 Changi Road 419741,419741,35942.9846,33279.5992
33,Prinsep Place,50 Prinsep Street 188672,188672,29837.7182,31309.958
34,Bugis Cube,470 North Bridge Road 188735,188735,30485.9057,31173.3374
35,Bukit Timah Plaza,1 Jalan Anak Bukit 588996,588996,21906.0065,35647.4494
36,Viva Vista,3 South Buona Vista Road 118136,118136,22723.764,29139.707
37,East Village,430 Upper Changi Road 487048,487048,40562.677,34886.8074
38,Beauty World Centre,144 Upper Bukit Timah Road 588177,588177,21672.2012,36064.1879
39,Peninsula Shopping Centre,3 Coleman Street 179804,179804,29886.8407,30467.0792
40,Pavilion Square,345 Geylang Road 389366,389366,33169.6767,32807.9851
41,Grandlink Square,511 Guillemard Road 399849,399849,34475.0919,32942.1896
42,Queens Way Shopping Centre,1 Queensway 149053,149053,24669.3282,30003.7872
43,Suites at Bukit Timah,68 Jalan Jurong Kechil 596180,596180,21359.4167,35856.6401
44,Havelock II,2 Havelock Road 059763,059763,29326.0791,29943.1488
45,Eon Shenton,70 Shenton Way 079118,079118,29435.1289,28482.5936
46,Le Regal,340 Geylang Road 389365,389365,33236.1663,32755.4455
47,Parklane Shopping Mall,35 Selegie Road 188307,188307,29795.1275,31444.2734
48,Holland Road Shopping Centre,211 Holland Avenue 278967,278967,23774.5035,32506.937
49,Katong Shopping Centre,865 Mountbatten Road 437844,437844,35526.9921,31794.6624
50,Roxy Square And Shopping Centre,50 East Coast Road 428769,428769,35871.8859,31851.3708
51,Thomson V Two,11 Sin Ming Road 575629,575629,28248.0154,37279.4484
52,Concorde Shopping Centre,317 Outram Road 169075,169075,28096.778,30153.0115
53,Onze The Avenue,11 Kee Seng Street 089218,089218,28986.1284,28601.7052
54,Concorde Shopping Mall,100 Orchard Road 238840,238840,28991.5434,31440.8496
55,Far East Shopping Centre,545 Orchard Road 238882,238882,27628.9835,31981.7508
56,Novena Regency,275 Thomson Road 307645,307645,28916.1202,33711.1895
57,Cuppage Plaza,5 Koek Road 228796,228796,28825.911,31593.9188
58,Alexis,356 Alexandra Road 159949,159949,25110.4562,30392.506
59,Novena Medical Center,10 Sinaran Drive 307506,307506,29206.6251,33662.3578
60,The Rise @ Oxley - Residences,71 Oxley Rise 238698,238698,29099.8565,31075.5828
61,Connexion,1 Farrer Park Station Road 217562,217562,30284.0821,32783.491
62,Beauty World Plaza,140 Upper Bukit Timah Road 588176,588176,21654.9072,35993.6898
63,Prestige Point,398 Upper Paya Lebar Road 534986,534986,33216.2873,36861.8813
64,Singapore Shopping Centre,190 Clemenceau Avenue 239924,239924,29204.1471,31166.3786
65,Katong Plaza,1 Brooke Road 429979,429979,35854.0365,31830.7096
66,Stars of Kovan,00 Upper Serangoon 539999,539999,33185.8984,40762.0647
67,Boon Lay Shopping Centre,221 Boon Lay Place 640221,640221,14546.349,36498.1928
68,183 Longhaus,183 Upper Thomson Road 574332,574332,28224.5878,37035.5049
69,Tanglin Shopping Centre,19 Tanglin Road 247909,247909,27300.8643,32077.5799
70,Coronation Shopping Plaza,587 Bukit Timah Road 269707,269707,25430.9607,33990.8411
71,Thomson Plaza,301 Upper Thomson Road 574408,574408,27747.8995,37457.7224
72,Little India Shop Houses,0 Little India Shophouses 209000,209000,31012.5751,32833.6585
73,Vibes @ East Coast,308 Telok Kurau Road 423858,423858,36725.3578,32421.605
74,Mount Elizabeth Hospital,3 Mount Elizabeth 228510,228510,28239.8211,31970.902
75,Space @ Kovan,9 Yio Chu Kang Road 545523,545523,32848.2926,37417.5566
76,South Bridge Road,00 South Bridge Road 059999,059999,,
77,THe Hillford,0 Jalan Jurong Kechil 599000,599000,20801.6142,35337.927
78,36 & 38 Armenian Street,36 Armenian Street 179934,179934,29816.6347,30711.8263
79,Kampong Glam Conservation Area,29 Arab Street 199728,199728,30929.5464,31422.3507
80,Excelsior Hotel,5 Coleman Street 179805,179805,29836.5104,30482.3418
81,Novena Specialist Center,8 Sinaran Drive 307470,307470,29275.8088,33587.7364
82,Tai Keng Shopping Centre,308 Upper Paya Lebar Road 534938,534938,,
83,The Venue Shoppes,6 Tai Thong Crescent 347840,347840,31975.9356,34561.9588
84,Kreta Ayer Shop Houses,00 Pagoda Street 059000,059000,,
85,ICON @ Pasir Panjang,218 Pasir Panjang Road 118579,118579,22706.6893,29104.7079
86,Upper Serangoon Shopping Centre,756 Upper Serangoon Road 534626,534626,33064.7277,37286.6028
87,Manhattan House,151 Chin Swee Rd 169876,169876,28833.0475,29941.2724
88,Neil Road,00 Neil Road 089999,089999,,
89,Golden Landmark,390 Victoria Street 188061,188061,30722.5771,31584.4494
90,WIS @ Changi,116 Changi Road 419718,419718,35558.1896,33194.3221
91,329 Joo Chiat Road,329 Joo Chiat Road 427586,427586,35729.9023,32383.0967
92,510 Bedok North Street 3,510 Bedok North Street 3 460510,460510,38814.932,34948.7369
93,Telok Ayer Shop Houses,00 Telok Ayer Shop Houses (Default) 060000,060000,,
94,Balmoral Plaza,271 Bukit Timah Road 259708,259708,28241.9815,33190.2066
95,Upper Thomson Road Shop Houses,0 Upper Thomson Road Shop Houses 787000,787000,26447.0446,42723.5411
96,28RC Suites,28 Race Course Lane 218000,218000,30069.6943,32146.6632
97,Goldhill Shopping Centre,157 Thomson Road 307610,307610,29159.3546,33370.6994
98,Thomson Imperial Court,200 Upper Thomson Road 574424,574424,28305.9513,37097.2797
99,The Central,6 Eu Tong Sen Street 059817,059817,29473.438,30138.7431
100,Mount Elizabeth Novena Hospital,38 Irrawaddy Road 329563,329563,29213.9156,33821.768
101,Midpoint Orchard,220 Orchard Road 238852,238852,28594.4208,31570.5705
102,Shaw House,350 Orchard Road 238868,238868,27801.1614,32013.4114
103,The Grandstand (former Turf City),200 Turf Club Road 287994,287994,23558.1195,35638.6169
104,Aperia,00 KALLANG AVENUE 339999,339999,,
105,Square 2,10 Sinaran Drive 307506,307506,29206.6251,33662.3578
106,The Centrepoint,176 Orchard Road 238843,238843,28742.844,31515.7446
107,IMM Building,2 Jurong East Street 21 609601,609601,18399.0227,35222.4484
108,Circular Road,00 CIRCULAR ROAD 049999,049999,,
109,Paya Lebar Quarter,2 Paya Lebar Road 409053,409053,34613.7708,33124.139
110,Holland Village Market And Food...,3 Lorong Liput 277725,277725,23764.5402,32553.8587
111,Hougang Green Shopping Mall,21 Hougang Street 51 538719,538719,34068.5399,40143.7433
112,Bukit Pasoh Shop House,21 Cantonment Road 089742,089742,28764.5411,29059.7033
113,Elias Mall,625 Elias Road 510625,510625,40092.4604,40064.6402
114,Furama Riverfront,405 Havelock Road 169633,169633,28308.7513,30005.605
115,Palais Renaissance,390 Orchard Road 238871,238871,27584.8261,32108.7724
116,Wisma Atria,435 Orchard Road 238877,238877,27985.645,31781.9196
117,City Square Mall,180 Kitchener Road 208539,208539,30578.4383,32632.7594
118,Harbourfront Centre,1 Maritime Square 099253,099253,26544.8211,27388.8963
119,United Square,101 Thomson Road 307591,307591,29151.682,33260.6239
120,Orchard Central,181 Orchard Road 238896,238896,28722.2617,31464.1696
121,Bugis Village,158 Rochor Road 188433,188433,30440.5324,31474.4306
122,Mountbatten Square,229 Mountbatten Road 398007,398007,33336.6377,32198.4262
123,WestWay,27 West Coast Highway 117867,117867,22125.4866,29504.6987
124,Delfi Orchard,402 Orchard Road Singapore 238876,238876,27460.2549,32166.6263
125,Forum Galleria Shopping Centre,583 Orchard Road 238884,238884,27483.2737,32050.2099
126,One KM,11 Tanjong Katong Road 437157,437157,34806.7378,32997.5775
127,VIIO @ Balestier,520 Balestier Road 329853,329853,29400.5537,34355.8879
128,Valley Point Shopping Centre,491 River Valley Road 248371,248371,27290.209,30600.8644
129,China Square Central,18 Cross Street 048423,048423,29511.5575,29548.9087
130,Orchard Gateway,218 Orchard Road 238851,238851,28622.8309,31545.7522
131,Ue Square,83 Clemenceau Avenue 239918,239918,29043.6036,30506.5241
132,Eastpoint Mall,3 Simei St 6 528833,528833,41327.3021,36082.2298
133,Suntec City Mall,3 Temasek Boulevard 038983,038983,30860.6501,30926.2024
134,Siglap Centre,55 Siglap Road 455871,455871,38001.3468,32766.8041
135,JEM,50 Jurong Gateway Road 608549,608549,18022.0389,35103.2109
136,Velocity @ Novena Square,238 Thomson Road 307683,307683,29172.1136,33580.8177
137,Broadway Plaza (Former K Box Plaza),4190 Ang Mo Kio Avenue 6 569841,569841,29405.6643,39327.3736
138,Camden Medical Centre,1 Orchard Boulevard 248649,248649,26955.9206,31721.3738
139,Hougang Mall,90 Hougang Avenue 10 538766,538766,34715.4429,39368.8739
140,Kallang Wave Mall,1 STADIUM PLACE 397628,397628,32388.4352,31797.9171
141,Pacific Plaza,9 Scotts Road 228210,228210,27867.3215,32095.7654
142,Westgate,3 Gateway Drive 608532,608532,17902.4122,35135.442
143,Wheelock Place,501 Orchard Road 238880,238880,27710.1599,31874.521
144,Northpoint,930 Yishun Avenue 2 769098,769098,28273.529,45714.3116
145,Robertson Walk,11 Unity Street 237995,237995,28905.5005,30473.8661
146,Bedok Point,799 New Upper Changi Road 467351,467351,39012.6216,34155.0758
147,Esplanade Mall,8 Raffles Avenue 039802,039802,30494.8753,30230.7993
148,Great World City,1 Kim Seng Promenade 237994,237994,27845.2429,30616.0209
149,Orchard Shopping Centre,321 Orchard Road 238866,238866,28508.5464,31538.8182
150,West Mall,1 Bukit Batok Central Link 658713,658713,18624.3519,36909.9589
151,Loyang Point,258 Pasir Ris Street 21 510258,510258,42614.025,38789.1655
152,The Rail Mall,380 Upper Bukit Timah Road 678040,678040,20746.6115,37757.39
153,Downtown East,1 Pasir Ris Close 519599,519599,41461.717,39953.7992
154,Jurong Point Shopping Centre,1 Jurong West Central 2 648886,648886,13907.0305,35735.7565
155,The Punggol Settlement,3 Punggol Point Road 828694,828694,36778.3071,44739.7918
156,Cathay Building,2 Handy Road 229233,229233,29626.7218,31290.1369
157,DUO Galleria,7 Fraser Street 189356,189356,30731.1894,31280.3712
158,Plaza Singapura,68 Orchard Road 238839,238839,29299.1005,31385.9036
159,Zhongshan Mall Balestier,20 Ah Hood Road 329984,329984,29473.0099,34352.362
